title,developer,publisher,genres,category,overallAvgRating,reviewCount,finalAmount,baseAmount,discountPercentage,isDiscounted,isFree,globalReleaseDate,isGame,main_genre,release_year
The Surge 2 - The Kraken Expansion,Deck13,Focus Entertainment,"['Action', 'Role-playing', 'Sci-fi']",Action,3.7,3,3.39,4.99,32,True,False,1579125600.0,True,Action,2020.0
House Party - Doja Cat Expansion Pack,"Eek! Games, LLC","Eek! Games, LLC","['Adventure', 'Simulation', 'Virtual life']",Adventure,2.1,1,4.99,9.99,50,True,False,1664485200.0,True,Adventure,2022.0
Evenicle,Alicesoft,MangaGamer,"['Role-playing', 'Adventure', 'JRPG']",Role-playing,4.3,23,37.99,37.99,0,False,False,1530133200.0,True,Role-playing,2018.0
Homeworld® Remastered Soundtrack,Gearbox Software,Gearbox Software,"['Strategy', 'Real-time', 'Sci-fi']",Strategy,3.3,3,14.59,14.59,0,False,False,1424815200.0,True,Strategy,2015.0
Tennis Manager 2022,Rebound CG,Rebound CG,"['Sports', 'Simulation', 'Managerial']",Sports,3.5,2,6.49,9.99,35,True,False,1652734800.0,True,Sports,2022.0
Hello Neighbor 2,"Eerie Guest, tinyBuild",tinyBuild,"['Action', 'Puzzle', 'Horror']",Action,4.2,1,15.59,38.99,60,True,False,1670277600.0,True,Action,2022.0
Sabre Team,Krisalis Software,Ziggurat Interactive,"['Strategy', 'Role-playing', 'Tactical']",Strategy,4.0,4,3.19,5.69,44,True,False,694216800.0,True,Strategy,1991.0
Creature in the Well,Flight School Studio,Flight School Studio,"['Action', 'Adventure', 'Pinball']",Action,3.8,15,12.49,12.49,0,False,False,1567717200.0,True,Action,2019.0
House Party - Explicit Content Add-On,"Eek! Games, LLC","Eek! Games, LLC","['Adventure', 'Simulation', 'Virtual life']",Adventure,3.6,3,3.79,4.99,24,True,False,1539896400.0,True,Adventure,2018.0
Hit the Shape,Alexis Clemente,AleC Games,"['Strategy', 'Arcade', 'Puzzle']",Strategy,3.4,1,1.09,2.78,61,True,False,1713214800.0,True,Strategy,2024.0
Grow: Song of the Evertree,Prideful Sloth,505 Games,"['Action', 'Adventure', '']",Action,4.0,9,7.49,24.99,70,True,False,1637013600.0,True,Action,2021.0
Hyperdimension Neptunia U: Action Unleashed,Idea Factory / Compile Heart,Idea Factory International,"['Action', 'Adventure', 'JRPG']",Action,3.8,4,12.49,12.49,0,False,False,1458079200.0,True,Action,2016.0
Pathfinder: Kingmaker - Beneath The Stolen Lands,Owlcat Games,MY.GAMES,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.4,11,1.39,6.99,80,True,False,1559768400.0,True,Role-playing,2019.0
Slave Zero X,Poppy Works,Ziggurat Interactive,"['Action', 'Combat', 'Horror']",Action,3.7,11,15.99,24.5,35,True,False,1708466400.0,True,Action,2024.0
KAPIA Demo,2 FOR 2,2 FOR 2,"['Adventure', 'Point-and-click', 'Puzzle']",Adventure,3.6,1,0.0,0.0,0,False,True,1643061600.0,True,Adventure,2022.0
Dagon - The Eldritch Box DLC,Bit Golem,Bit Golem,"['Adventure', 'Point-and-click', 'Horror']",Adventure,4.5,4,3.19,3.99,20,True,False,1632430800.0,True,Adventure,2021.0
Bloodshed,com8com1 Software,Headup,"['Action', 'Adventure', 'Roguelike']",Action,4.4,21,12.99,12.99,0,False,False,1733954400.0,True,Action,2024.0
Galactic Civilizations III - Retribution Expansion,Stardock Entertainment,Stardock Entertainment,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,3.5,2,5.09,14.79,66,True,False,1550700000.0,True,Strategy,2019.0
Deus Ex Revision Mod,Ion Storm Inc.,Caustic Creative,"['Role-playing', 'FPP', 'Sci-fi']",Role-playing,3.1,32,0.0,0.0,0,False,True,1444424400.0,True,Role-playing,2015.0
Cardpocalypse,Gambrinous,Versus Evil,"['Role-playing', 'Card Game', 'Narrative']",Role-playing,3.7,8,5.0,24.99,80,True,False,1602450000.0,True,Role-playing,2020.0
The 25th Ward: The Silver Case,"Grasshopper Manufacture Inc., AGM Playism","NIS America, Inc.","['Adventure', 'Puzzle', 'Detective-mystery']",Adventure,4.1,7,3.99,19.99,80,True,False,1520892000.0,True,Adventure,2018.0
Parkan 2,Nikita,Fulqrum Publishing,"['Simulation', 'Action', 'Sci-fi']",Simulation,3.5,13,0.79,3.99,80,True,False,1178830800.0,True,Simulation,2007.0
Gravewood High,HeroCraft,HeroCraft,"['Adventure', 'Puzzle', 'Horror']",Adventure,2.4,5,0.0,0.0,0,False,True,1678831200.0,True,Adventure,2023.0
Dying Light - SHU Warrior Bundle,Techland,Techland,"['Action', 'FPP', 'Modern']",Action,3.0,1,0.79,2.99,74,True,False,1576706400.0,True,Action,2019.0
My Cat Girl Lover,"琉璃花糖制作组, Garakowa Marshmallow",MediBang Inc.,"['Role-playing', 'Visual Novel', 'JRPG']",Role-playing,3.1,3,1.69,2.78,39,True,False,1692046800.0,True,Role-playing,2023.0
Funtasia,Fantastico Studio,indie.io,"['Racing', 'Arcade', 'Fantasy']",Racing,5.0,1,4.5,14.99,70,True,False,1664398800.0,True,Racing,2022.0
Jumpala,Yokereba Games,Versus Evil,"['Action', 'Arcade', 'Puzzle']",Action,3.1,1,1.85,8.99,79,True,False,1611007200.0,True,Action,2021.0
Werewolf: The Apocalypse - Heart of the Forest Demo,Different Tales,Pretty Soon,"['Role-playing', 'Visual Novel', 'Narrative']",Role-playing,4.2,8,0.0,0.0,0,False,True,1599598800.0,True,Role-playing,2020.0
The Legend of Heroes: Trails of Cold Steel IV - Standard Cosmetic Set,Nihon Falcom Corporation,"NIS America, Inc.","['Adventure', 'Turn-based', 'JRPG']",Adventure,2.0,1,15.99,31.99,50,True,False,1617915600.0,True,Adventure,2021.0
Beyond Shadowgate Digital Upgrade DLC,"Zojoi LLC., GrahfMetal",Zojoi LLC.,"['Adventure', 'Point-and-click', 'Fantasy']",Adventure,5.0,1,5.49,6.89,20,True,False,1726693200.0,True,Adventure,2024.0
IdolDays,"qureate, iMel Inc.","qureate, MediBang Inc.","['Adventure', 'Visual Novel', 'Narrative']",Adventure,4.0,1,10.79,10.79,0,False,False,1628110800.0,True,Adventure,2021.0
Horror Story: Hallowseed,Jeff Winner,Fulqrum Publishing,"['Adventure', 'Survival', 'Horror']",Adventure,3.4,6,3.99,19.99,80,True,False,1635368400.0,True,Adventure,2021.0
The Curse of Monkey Island™,LucasArts,Disney,"['Adventure', 'Point-and-click', 'Fantasy']",Adventure,4.7,187,2.39,6.89,65,True,False,878248800.0,True,Adventure,1997.0
Conarium,Zoetrope Interactive,Iceberg Interactive,"['Adventure', 'Puzzle', 'Horror']",Adventure,3.6,37,3.59,19.99,82,True,False,1496696400.0,True,Adventure,2017.0
Tiny Breakers Camp,JuTek Pixel,JuTek Pixel,"['Action', 'Arcade', 'Roguelike']",Action,3.7,2,2.19,3.99,45,True,False,1716238800.0,True,Action,2024.0
Synergia,Radi Art,Top Hat Studios Inc,"['Simulation', 'Visual Novel', 'Sci-fi']",Simulation,3.7,8,3.58,9.99,64,True,False,1595797200.0,True,Simulation,2020.0
Dying Light - Hellraid,Techland,Techland Publishing,"['Action', 'FPP', 'Modern']",Action,3.0,7,2.49,9.99,75,True,False,1597266000.0,True,Action,2020.0
Ghost 1.0,@unepic_fran,Unepic Games,"['Action', 'Metroidvania', 'Sci-fi']",Action,4.2,28,2.59,12.99,80,True,False,1465246800.0,True,Action,2016.0
Battlefleet Gothic: Armada - Space Marines,Tindalos Interactive,Focus Entertainment,"['Strategy', 'Real-time', 'Sci-fi']",Strategy,2.0,1,1.99,3.99,50,True,False,1466456400.0,True,Strategy,2016.0
Knights of Pen and Paper +1 Deluxier Edition,Behold Studios,Paradox Interactive,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,3.0,5,4.99,19.99,75,True,False,1415224800.0,True,Role-playing,2014.0
Being a DIK: Season 1 - The complete official guide,Dr PinkCake,Dr PinkCake,"['Role-playing', 'Visual Novel', 'Narrative']",Role-playing,2.9,2,3.19,3.99,20,True,False,1581631200.0,True,Role-playing,2020.0
Mage of the Olekta Desert,baron sengia,Kagura Games,"['Adventure', 'Visual Novel', 'Fantasy']",Adventure,3.6,1,10.29,12.79,20,True,False,1694206800.0,True,Adventure,2023.0
My Brother Rabbit,Artifex Mundi,Artifex Mundi,"['Adventure', 'Puzzle', 'Hidden Object']",Adventure,4.5,41,14.99,14.99,0,False,False,1537477200.0,True,Adventure,2018.0
18 Wheels of Steel Collection #1,Cosmi Valusoft,Cosmi ValuSoft,"['Simulation', 'Real-time', 'Modern']",Simulation,3.7,1,11.59,20.99,45,True,False,1612476000.0,True,Simulation,2021.0
Journey to Kreisia,Exe Create Inc.,KEMCO,"['Adventure', 'Turn-based', 'JRPG']",Adventure,1.6,6,9.79,14.99,35,True,False,1730325600.0,True,Adventure,2024.0
Commandos 2 - HD Remaster,Yippee! Entertainment / Pyro Studios,Kalypso Media Digital,"['Strategy', 'Real-time', 'Historical']",Strategy,1.9,44,7.99,19.99,60,True,False,1579816800.0,True,Strategy,2020.0
MarZ: Tactical Base Defense Demo,Giant Grey,Giant Grey,"['Strategy', 'Action', 'Sci-fi']",Strategy,3.3,3,0.0,0.0,0,False,True,1554325200.0,True,Strategy,2019.0
Sons of Valhalla,Pixel Chest,Hooded Horse,"['Adventure', 'Strategy', 'Fantasy']",Adventure,3.7,10,9.99,19.99,50,True,False,1712264400.0,True,Adventure,2024.0
Higurashi When They Cry Hou - Ch.1 Onikakushi,07th Expansion,MangaGamer,"['Adventure', 'Visual Novel', 'Mystery']",Adventure,4.4,33,0.0,0.0,0,False,True,1431723600.0,True,Adventure,2015.0
Steredenn: Binary Stars,Pixelnest Studio,TyGAMES,"['Shooter', 'Action', 'Sci-fi']",Shooter,4.1,1,3.94,12.99,70,True,False,1443646800.0,True,Shooter,2015.0
The Stillness of the Wind,Memory of God / Lambic Studios,Fellow Traveller,"['Adventure', 'Point-and-click', 'Narrative']",Adventure,3.8,6,1.59,10.49,85,True,False,1549490400.0,True,Adventure,2019.0
Mary Skelter: Nightmares,Idea Factory,Ghostlight LTD,"['Role-playing', 'Adventure', 'Narrative']",Role-playing,4.2,25,5.69,22.79,75,True,False,1531947600.0,True,Role-playing,2018.0
Resident Evil 2,Capcom / GOG,Capcom,"['Action', 'Survival', 'Horror']",Action,4.8,1560,9.99,9.99,0,False,False,919375200.0,True,Action,1999.0
Dread Nautical,Zen Studios,Zen Studios,"['Role-playing', 'Turn-based', 'Roguelike']",Role-playing,3.2,5,5.09,16.79,70,True,False,1603749600.0,True,Role-playing,2020.0
ENDLESS™ Space 2 - Lost Symphony,AMPLITUDE Studios,SEGA,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,5.0,1,0.79,2.99,74,True,False,1520805600.0,True,Strategy,2018.0
Flight of the Intruder,Rowan Software Ltd.,Atari,"['Simulation', 'Combat', 'Modern']",Simulation,4.7,2,2.39,6.89,65,True,False,631144800.0,True,Simulation,1989.0
Hacknet Official Soundtrack,Team Fractal Alligator,Fellow Traveller,"['Simulation', 'Real-time', 'Modern']",Simulation,3.9,3,1.39,9.19,85,True,False,1476910800.0,True,Simulation,2016.0
Sheltered 2,Unicube,Team17 Digital LTD.,"['Strategy', 'Survival', 'Managerial']",Strategy,2.7,13,3.99,19.99,80,True,False,1632171600.0,True,Strategy,2021.0
Grim Dawn - Ashes of Malmouth,Crate Entertainment,Crate Entertainment,"['Action', 'Role-playing', 'Fantasy']",Action,4.7,28,17.99,17.99,0,False,False,1507669200.0,True,Action,2017.0
Wildcat Gun Machine,Chunkybox Games,Daedalic Entertainment,"['Action', 'Real-time', '']",Action,3.1,6,1.49,14.99,90,True,False,1651611600.0,True,Action,2022.0
Archvale,idoz & phops,Humble Games,"['Action', 'Adventure', 'Fantasy']",Action,3.8,5,7.49,14.99,50,True,False,1638396000.0,True,Action,2021.0
Dead Cells OST ,Motion Twin,Motion Twin,"['Action', 'Adventure', 'Roguelike']",Action,4.0,3,4.99,4.99,0,False,False,1498683600.0,True,Action,2017.0
YesterMorrow,Bitmap Galaxy,Blowfish Studios,"['Action', 'Adventure', 'Platformer']",Action,3.1,8,3.59,17.99,80,True,False,1604527200.0,True,Action,2020.0
Objects in Space,Flat Earth Games,505 Games,"['Action', 'Adventure', 'Stealth']",Action,3.4,55,4.19,20.99,80,True,False,1551391200.0,True,Action,2019.0
Wargame Construction Set II: Tanks!,Strategic Simulations,SNEG,"['Simulation', 'Strategy', 'Historical']",Simulation,3.8,1,2.99,5.89,49,True,False,757375200.0,True,Simulation,1993.0
Tintin Reporter - Cigars of the Pharaoh,Pendulo Studios,Microids,"['Action', 'Adventure', 'Comedy']",Action,3.0,16,15.99,39.99,60,True,False,1699308000.0,True,Action,2023.0
REPOSE,Bozó Attila Bertold,Akupara Games,"['Action', 'Adventure', 'Horror']",Action,4.1,2,6.69,7.79,14,True,False,1744578000.0,True,Action,2025.0
Rogue Lords,"Leikir Studio, Cyanide Studio",Nacon,"['Role-playing', 'Strategy', 'Roguelike']",Role-playing,4.0,5,5.0,24.99,80,True,False,1632949200.0,True,Role-playing,2021.0
Moonshine Inc. - Supporter Edition,Klabater,Klabater,"['Simulation', 'Strategy']",Simulation,2.0,1,10.19,25.49,60,True,False,1669845600.0,True,Simulation,2022.0
The Divine Invasion,Whale Rock Games,Whale Rock Games,"['Action', 'Adventure', 'Sci-fi']",Action,3.2,16,0.49,9.79,95,True,False,1598734800.0,True,Action,2020.0
Legends of Amberland: The Forgotten Crown,Silver Lemur Games,Silver Lemur Games,"['Role-playing', 'Turn-based', 'Open World']",Role-playing,4.4,26,9.79,19.5,50,True,False,1564606800.0,True,Role-playing,2019.0
Dying Light: White Death Bundle,Techland,Techland,"['Action', 'FPP', 'Modern']",Action,2.5,1,0.79,2.99,74,True,False,1513634400.0,True,Action,2017.0
Master of Magic: Caster of Magic,SimTex,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Fantasy']",Strategy,3.5,40,1.19,2.39,50,True,False,1582581600.0,True,Strategy,2020.0
Alternate DiMansion Diary,Sprite Hills,Kagura Games,"['Role-playing', 'Adventure', 'JRPG']",Role-playing,3.8,24,3.29,8.19,60,True,False,1558645200.0,True,Role-playing,2019.0
Wasteland 3 - Colorado Survival Gear,inXile Entertainment,inXile Entertainment,"['Role-playing', 'Strategy', 'Tactical']",Role-playing,1.4,2,0.79,0.79,0,False,False,1598562000.0,True,Role-playing,2020.0
Saya no Uta ~ The Song of Saya Director's Cut,Nitroplus,JAST USA,"['Adventure', 'Visual Novel', 'Horror']",Adventure,4.5,46,6.29,12.49,50,True,False,1367701200.0,True,Adventure,2013.0
Indoorlands,"Pixelsplit, Pixelsplit Simulations","Pixelsplit, Pixelsplit Simulations","['Simulation', 'Strategy', 'Managerial']",Simulation,3.1,4,5.39,17.99,70,True,False,1665694800.0,True,Simulation,2022.0
Know by heart,Ice-Pick Lodge,Ice-Pick Lodge,"['Adventure', 'Narrative']",Adventure,3.9,3,16.79,16.79,0,False,False,1644444000.0,True,Adventure,2022.0
Stardew Valley Soundtrack,ConcernedApe,ConcernedApe,"['Simulation', 'Role-playing', 'Managerial']",Simulation,4.4,2,4.99,4.99,0,False,False,1456437600.0,True,Simulation,2016.0
Rain World,Videocult,Akupara Games,"['Action', 'Adventure', 'Platformer']",Action,4.2,67,11.09,24.49,55,True,False,1490648400.0,True,Action,2017.0
Genesis Alpha One Deluxe Edition,Radiation Blue,Team17 Digital LTD.,"['Action', 'Role-playing', 'Roguelike']",Action,3.6,107,5.59,27.99,80,True,False,1582581600.0,True,Action,2020.0
Heads Will Roll: Downfall,1917 Studios,Valkyrie Initiative,"['Adventure', 'Role-playing', 'Historical']",Adventure,4.2,8,0.0,0.0,0,False,True,1634763600.0,True,Adventure,2021.0
Clouzy!,Tinymoon,indie.io,"['Adventure', 'Simulation', '']",Adventure,3.7,1,4.5,14.99,70,True,False,1645653600.0,True,Adventure,2022.0
Not For Broadcast,NotGames,tinyBuild,"['Simulation', 'Adventure', 'Comedy']",Simulation,4.0,18,5.29,20.99,75,True,False,1643061600.0,True,Simulation,2022.0
Bloody Hell,Pun Intended,Pun Intended,"['Action', 'Adventure', 'Comedy']",Action,4.0,19,0.0,0.0,0,False,True,1674770400.0,True,Action,2023.0
Deep Diving Simulator - Adventure Pack,Jujubee S.A.,Jujubee S.A.,"['Simulation', 'Educational', '']",Simulation,2.9,1,1.69,6.59,74,True,False,1567717200.0,True,Simulation,2019.0
Predynastic Egypt,Clarus Victoria,Clarus Victoria,"['Strategy', 'Turn-based', 'Historical']",Strategy,3.9,25,2.49,9.99,75,True,False,1476046800.0,True,Strategy,2016.0
Sir Whoopass™: Immortal Death,Atomic Elbow,Atomic Elbow,"['Action', 'Adventure', 'Fighting']",Action,4.3,188,9.59,15.99,40,True,False,1660770000.0,True,Action,2022.0
Windy Meadow - A Roadwarden Tale,Moral Anxiety Studio,Assemble Entertainment,"['Adventure', 'Visual Novel', 'Fantasy']",Adventure,3.3,2,4.99,9.99,50,True,False,1697403600.0,True,Adventure,2023.0
Monster Prom 4: Monster Con,Beautiful Glitch,Beautiful Glitch,"['Adventure', 'Visual Novel', 'Comedy']",Adventure,3.7,1,13.49,14.99,10,True,False,1745442000.0,True,Adventure,2025.0
Neverwinter Nights: Enhanced Edition Digital Deluxe Edition,Beamdog,Beamdog,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.1,21,26.36,52.59,50,True,False,1522098000.0,True,Role-playing,2018.0
SYNTHETIK: Legion Rising,Flow Fire Games,Flow Fire Games,"['Shooter', 'Action', 'Sci-fi']",Shooter,4.4,62,4.99,19.99,75,True,False,1521151200.0,True,Shooter,2018.0
Sexy Mystic Survivors,Fantasize Games,Fantasize Games,"['Role-playing', 'Survival', '']",Role-playing,3.7,20,7.99,7.99,0,False,False,1668722400.0,True,Role-playing,2022.0
BallisticNG,Neognosis,Neognosis,"['Racing', 'Action', 'Sci-fi']",Racing,4.8,21,10.0,12.49,20,True,False,1544824800.0,True,Racing,2018.0
Daymare: 1998,Invader Studios,"Destructive Creations, All in! Games","['Action', 'Adventure', 'Horror']",Action,3.3,133,3.0,29.99,90,True,False,1568667600.0,True,Action,2019.0
Trans Neuronica,Evidently Cube,"Untold Tales, Hyperstrange","['Strategy', 'Puzzle', 'Sci-fi']",Strategy,5.0,2,4.39,9.75,55,True,False,1729544400.0,True,Strategy,2024.0
This Is the Police 2,Weappy Studio,THQ Nordic GmbH,"['Strategy', 'Adventure', 'Modern']",Strategy,3.5,31,3.79,14.99,75,True,False,1532984400.0,True,Strategy,2018.0
BLACKTAIL,THE PARASIGHT,Focus Entertainment,"['Action', 'Adventure', 'Fantasy']",Action,4.2,16,9.0,29.99,70,True,False,1671055200.0,True,Action,2022.0
Tropico 6 - Spitter,Realmforge Studios,Kalypso Media Digital,"['Strategy', 'Simulation', 'Modern']",Strategy,2.4,1,4.49,9.99,55,True,False,1587589200.0,True,Strategy,2020.0
Nope Nope Nurses,Dark One!,Shiravune,"['Adventure', 'Visual Novel', 'Horror']",Adventure,3.9,3,16.79,16.79,0,False,False,1619730000.0,True,Adventure,2021.0
SteamWorld Quest: Hand of Gilgamech - Soundtrack,Image and Form,Thunderful Publishing,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,5.0,1,0.89,8.19,89,True,False,1559250000.0,True,Role-playing,2019.0
The Magister Demo,Nerdook Productions,Digerati,"['Action', 'Role-playing', 'Mystery']",Action,2.3,2,0.0,0.0,0,False,True,1629320400.0,True,Action,2021.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,Purple Lamp,THQ Nordic GmbH,"['Adventure', 'Action', 'Platformer']",Adventure,4.3,38,7.49,29.99,75,True,False,1592859600.0,True,Adventure,2020.0
Heroland,FURYU Corporation,"XSEED Games, Marvelous USA, Inc.","['Role-playing', 'Adventure', 'Fantasy']",Role-playing,2.8,1,4.99,19.99,75,True,False,1575324000.0,True,Role-playing,2019.0
Fill Fill,Alexis Clemente,AleC Games,"['Strategy', 'Puzzle', 'Tactical']",Strategy,4.0,4,2.78,2.78,0,False,False,1721595600.0,True,Strategy,2024.0
Cyclemania,Compro Games,Ziggurat Interactive,"['Racing', 'TPP']",Racing,3.4,6,1.85,3.99,54,True,False,757375200.0,True,Racing,1993.0
Dark Light,Mirari&Co.,"Mirari&Co., Maple Whispering Limited","['Action', 'Adventure', 'Metroidvania']",Action,3.8,7,10.09,16.49,39,True,False,1664485200.0,True,Action,2022.0
I am not a Monster: First Contact,Cheerdealers,Alawar,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,3.6,22,0.89,8.99,90,True,False,1537995600.0,True,Strategy,2018.0
Moonlighter - Between Dimensions,Digital Sun,11 bit studios,"['Action', 'Adventure', 'Managerial']",Action,4.0,2,1.09,6.99,84,True,False,1563829200.0,True,Action,2019.0
RimWorld - Anomaly,Ludeon Studios,Ludeon Studios,"['Simulation', 'Strategy', 'Sci-fi']",Simulation,4.4,2,21.19,23.49,10,True,False,1712782800.0,True,Simulation,2024.0
DISTRAINT 2 - OST,Jesse Makkonen,Jesse Makkonen,"['Adventure', 'Puzzle', 'Horror']",Adventure,4.8,2,0.69,3.99,83,True,False,1562274000.0,True,Adventure,2019.0
Hero's Hour,"Benjamin ""ThingOnItsOwn"" Hauer",Goblinz Publishing,"['Role-playing', 'Turn-based']",Role-playing,4.0,168,5.99,14.99,60,True,False,1646085600.0,True,Role-playing,2022.0
Necroking,KORO.GAMES,Alawar,"['Strategy', 'Card Game', 'Roguelike']",Strategy,4.6,13,1.99,4.99,60,True,False,1725397200.0,True,Strategy,2024.0
A Normal Lost Phone - Official Soundtrack,Accidental Queens,Plug In Digital,"['Adventure', 'Puzzle', 'Mystery']",Adventure,4.0,1,2.99,2.99,0,False,False,1485381600.0,True,Adventure,2017.0
Lust Academy - Season 1,Bear in the Night,Bear in the Night,"['Adventure', 'Role-playing', 'Narrative']",Adventure,3.6,18,9.69,12.95,25,True,False,1649710800.0,True,Adventure,2022.0
Crystal Project Demo,Andrew Willman,Andrew Willman,"['Role-playing', 'Adventure', '']",Role-playing,4.0,1,0.0,0.0,0,False,True,1648674000.0,True,Role-playing,2022.0
First Feudal,Harpoon Games,"Harpoon Games, Gamera Game","['Strategy', 'Building', 'Survival']",Strategy,3.6,19,2.79,18.49,85,True,False,1617829200.0,True,Strategy,2021.0
The Elephant Collection,Wonderful Elephant (jmtb02),Armor Games Studios,"['Adventure', 'Action', 'Platformer']",Adventure,5.0,1,8.19,14.79,45,True,False,1699221600.0,True,Adventure,2023.0
Heavenly Heroes of Antidomi,Daijyobi Institute,Kagura Games,"['Role-playing', 'Adventure', 'Managerial']",Role-playing,3.6,9,16.79,20.99,20,True,False,1670364000.0,True,Role-playing,2022.0
Letters - Collector's Edition,5am Games GmbH,PID Games,"['Adventure', 'Puzzle', 'Platformer']",Adventure,2.8,1,18.02,18.02,0,False,False,1644357600.0,True,Adventure,2022.0
The Book of Bondmaids,kamti,kamti,"['Adventure', 'Visual Novel', 'Narrative']",Adventure,3.3,13,3.49,5.69,39,True,False,1632430800.0,True,Adventure,2021.0
Prodeus,Bounding Box Software Inc.,Humble Games,"['Shooter', 'Action', 'FPP']",Shooter,4.3,158,14.99,24.99,40,True,False,1663880400.0,True,Shooter,2022.0
ENDLESS™ Space 2 - Awakening,AMPLITUDE Studios,SEGA,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,1.5,1,3.29,12.99,75,True,False,1568840400.0,True,Strategy,2019.0
Beat Angel Escalayer R,Alicesoft,MangaGamer,"['Simulation', 'Visual Novel', 'Managerial']",Simulation,4.6,1,44.95,44.95,0,False,False,1669154400.0,True,Simulation,2022.0
Banners of Ruin - Supporter Bundle,MonteBearo,Goblinz Publishing,"['Role-playing', 'Strategy', 'Roguelike']",Role-playing,2.8,2,6.69,22.09,70,True,False,1596056400.0,True,Role-playing,2020.0
Massacre At The Mirage,Tainted Pact,Assemble Entertainment,"['Action', 'Adventure', 'Horror']",Action,4.0,3,7.49,12.49,40,True,False,1730066400.0,True,Action,2024.0
The I of the Dragon Digital Deluxe DLC,Primal,TopWare Interactive,"['Role-playing', 'Simulation', 'Fantasy']",Role-playing,3.5,2,3.0,5.99,50,True,False,1078869600.0,True,Role-playing,2004.0
Call of the Sea Deluxe Edition,Out of the Blue,Raw Fury,"['Adventure', 'Puzzle', 'Mystery']",Adventure,4.1,1,7.49,24.99,70,True,False,1607378400.0,True,Adventure,2020.0
Trail Out: Complete Edition,GOOD BOYS,Crytivo,"['Racing', 'Arcade', 'Modern']",Racing,3.2,13,13.49,26.99,50,True,False,1662498000.0,True,Racing,2022.0
Dagon - The Little Glass Bottle DLC,Bit Golem,Bit Golem,"['Adventure', 'Point-and-click', 'Horror']",Adventure,3.3,3,2.69,3.29,18,True,False,1660683600.0,True,Adventure,2022.0
Being a DIK - Season 2,Dr PinkCake,Dr PinkCake,"['Role-playing', 'Visual Novel', 'Narrative']",Role-playing,4.4,33,14.29,16.79,15,True,False,1641420000.0,True,Role-playing,2022.0
Murder by Numbers,Mediatonic,The Irregular Corporation,"['Adventure', 'Visual Novel', 'Mystery']",Adventure,3.5,17,12.49,12.49,0,False,False,1583445600.0,True,Adventure,2020.0
Mainlining Demo,Rebelephant,Silver Lining Interactive,"['Simulation', 'Point-and-click', 'Puzzle']",Simulation,3.4,5,0.0,0.0,0,False,True,1485381600.0,True,Simulation,2017.0
Torment: Tides of Numenera - Legacy Edition Upgrade,inXile Entertainment,inXile Entertainment,"['Adventure', 'Role-playing', 'Fantasy']",Adventure,3.4,6,4.19,16.79,75,True,False,1488232800.0,True,Adventure,2017.0
Grim Dawn - Loyalist Item Pack,Crate Entertainment,Crate Entertainment,"['Adventure', 'Role-playing', 'Fantasy']",Adventure,3.2,10,8.19,8.19,0,False,False,1482357600.0,True,Adventure,2016.0
Starsand,Tunnel Vision Studio,Toplitz Productions,"['Action', 'Adventure', 'Survival']",Action,2.9,29,8.39,16.79,50,True,False,1668636000.0,True,Action,2022.0
Space Hack,Meridian4,Meridian4,"['Action', 'Role-playing', 'Sci-fi']",Action,3.3,13,4.99,4.99,0,False,False,1132005600.0,True,Action,2005.0
A Plague Tale: Requiem,Asobo Studio,Focus Entertainment,"['Adventure', 'Action', 'Stealth']",Adventure,4.2,109,17.53,49.99,65,True,False,1666040400.0,True,Adventure,2022.0
RoboCop: Rogue City - Alex Murphy Edition,Teyon,Nacon,"['Shooter', 'Action', 'Sci-fi']",Shooter,4.0,14,11.99,59.99,80,True,False,1707602400.0,True,Shooter,2024.0
Kingdom's Life,Strudio Company,Strudio Company,"['Strategy', 'Simulation']",Strategy,2.2,5,6.49,6.49,0,False,False,1645999200.0,True,Strategy,2022.0
REVEIL Funhouse Edition,Pixelsplit,Daedalic Entertainment,"['Adventure', 'Puzzle', 'Horror']",Adventure,3.7,1,13.49,26.99,50,True,False,1709676000.0,True,Adventure,2024.0
18 Wheels of Steel Collection #2,Cosmi Valusoft,Cosmi ValuSoft,"['Simulation', 'Real-time', 'Modern']",Simulation,3.4,1,11.59,20.99,45,True,False,1612476000.0,True,Simulation,2021.0
Dungeon Tavern,Wallimog & Friends,TinyHat Studios,"['Simulation', 'Point-and-click', 'Sandbox']",Simulation,1.5,3,8.19,8.19,0,False,False,1698267600.0,True,Simulation,2023.0
Project Hospital - Hospital Services,Oxymoron Games,Oxymoron Games,"['Simulation', 'Strategy', 'Managerial']",Simulation,4.5,1,7.99,7.99,0,False,False,1587675600.0,True,Simulation,2020.0
Sclash Demo,Bevel bakery,Abiding Bridge,"['Action', 'Combat', 'Fighting']",Action,2.8,4,0.0,0.0,0,False,True,1588194000.0,True,Action,2020.0
